"species","no_countries","no_countries_threatened","percentage_threatened"
"Nepeta foliosa",1,1,1
"Nepeta sphaciotica",1,1,1
"Nigella papillosa",2,1,0.5
"Noccaea bellidifolia",4,1,0.25
"Noccaea cretica",1,1,1
"Noccaea goesingensis",5,1,0.2
"Noccaea jankae",3,2,0.666666666666667
"Noccaea kovatsii",7,1,0.142857142857143
"Noccaea microphylla",3,1,0.333333333333333
"Noccaea nevadensis",1,1,1
"Noccaea praecox",5,1,0.2
"Noccaea sylvia",3,1,0.333333333333333
"Normeyera atrimontis",1,1,1
"Normeyera caeruleomontana",1,1,1
"Normeyera diversicolor",1,1,1
"Normeyera margittaiana",1,1,1
"Normeyera montisalpae",1,1,1
"Normeyera salatini",1,1,1
"Nothobartsia spicata",2,1,0.5
"Odontites cebennensis",2,1,0.5
"Odontites corsicus",2,1,0.5
"Odontites kaliformis",1,1,1
"Odontites litoralis",9,4,0.444444444444444
"Odontites sillettii",1,1,1
"Odontites viscosus",5,2,0.4
"Oenanthe banatica",7,2,0.285714285714286
"Oenanthe conioides",6,1,0.166666666666667
"Oenanthe fluviatilis",6,2,0.333333333333333
"Oenanthe montis-khortiati",3,2,0.666666666666667
"Omalotheca hoppeana",11,1,0.0909090909090909
"Omalotheca roeseri",3,2,0.666666666666667
"Omphalodes verna",15,1,0.0666666666666667
"Onobrychis pallasii",1,1,1
"Onobrychis peloponnesiaca",1,1,1
"Onobrychis sphaciotica",1,1,1
"Ononis azcaratei",1,1,1
"Ononis christii",1,1,1
"Ononis hebecarpa",1,1,1
"Ononis varelae",1,1,1
"Onopordum carduelium",1,1,1
"Onosma caespitosa",1,1,1
"Onosma helvetica",3,2,0.666666666666667
"Onosma mattirolii",2,1,0.5
"Onosma pseudoarenaria",4,1,0.25
"Onosma stellulata",3,2,0.666666666666667
"Onosma stridii",1,1,1
"Onosma tornensis",3,1,0.333333333333333
"Onosma tricerosperma",3,2,0.666666666666667
"Onosma troodi",1,1,1
"Onosma viridis",3,1,0.333333333333333
"Ophrys bertolonii",3,1,0.333333333333333
"Ophrys × flavicans",4,1,0.25
"Ophrys incubacea",6,1,0.166666666666667
"Orchis pauciflora",5,1,0.2
"Oreochloa disticha",10,1,0.1
"Origanum calcaratum",1,1,1
"Origanum × lirium",1,1,1
"Origanum vetteri",1,1,1
"Ornithogalum amphibolum",4,2,0.5
"Ornithogalum × degenianum",1,1,1
"Ornithogalum exscapum",5,1,0.2
"Ornithogalum oreoides",3,2,0.666666666666667
"Ornithogalum pyramidale",8,2,0.25
"Orobanche artemisiae-campestris",20,5,0.25
"Orobanche cyrnea",1,1,1
"Orobanche laserpitii-sileris",6,3,0.5
"Orobanche lycoctoni",6,1,0.166666666666667
"Orobanche pancicii",7,2,0.285714285714286
"Orobanche salviae",8,3,0.375
"Orobanche staehelinae",1,1,1
"Orobanche thapsoides",1,1,1
"Oxytropis carpatica",4,1,0.25
"Oxytropis fetida",3,1,0.333333333333333
"Oxytropis halleri",11,1,0.0909090909090909
"Oxytropis jabalambrensis",1,1,1
"Oxytropis kozhuharovii",1,1,1
"Oxytropis neglecta",7,2,0.285714285714286
"Oxytropis prenja",3,1,0.333333333333333
"Oxytropis purpurea",2,1,0.5
"Oxytropis urumovii",3,1,0.333333333333333
"Paeonia parnassica",1,1,1
"Papaver alpinum",11,1,0.0909090909090909
"Papaver apulum",6,1,0.166666666666667
"Papaver degenii",10,1,0.1
"Papaver kerneri",10,1,0.1
"Paradisea liliastrum",6,1,0.166666666666667
"Paramoltkia doerfleri",3,1,0.333333333333333
"Parapimpinella siifolia",2,1,0.5
"Parolinia filifolia",1,1,1
"Parolinia glabriuscula",1,1,1
"Parolinia intermedia",1,1,1
"Parolinia platypetala",1,1,1
"Parolinia schizogynoides",1,1,1
"Pedicularis acaulis",2,1,0.5
"Pedicularis baumgartenii",1,1,1
"Pedicularis brachyodonta",2,1,0.5
"Pedicularis elongata",3,1,0.333333333333333
"Pedicularis ernesti-mayeri",2,1,0.5
"Pedicularis friderici-augusti",4,1,0.25
"Pedicularis gyroflexa",3,1,0.333333333333333
"Pedicularis hacquetii",8,1,0.125
"Pedicularis hoermanniana",4,1,0.25
"Pedicularis leucodon",3,2,0.666666666666667
"Pedicularis petiolaris",5,1,0.2
"Pedicularis recutita",6,1,0.166666666666667
"Peltaria alliacea",6,1,0.166666666666667
"Pentanema bifrons",8,1,0.125
"Pentanema helenioides",2,1,0.5
"Pentanema helveticum",5,3,0.6
"Pericallis hadrosoma",1,1,1
"Pericallis hansenii",1,1,1
"Pericallis multiflora",1,1,1
"Peridictyon sanctum",2,1,0.5
"Petagnaea gussonei",1,1,1
"Petasites doerfleri",2,2,1
"Petasites kablikianus",7,1,0.142857142857143
"Petroana montserratii",1,1,1
"Petrocallis pyrenaica",9,1,0.111111111111111
"Petrocoptis glaucifolia",1,1,1
"Petrocoptis grandiflora",1,1,1
"Petrocoptis montserratii",1,1,1
"Petrocoptis pardoi",1,1,1
"Petrocoptis pyrenaica",2,1,0.5
"Petrorhagia thessala",3,1,0.333333333333333
"Petrosedum pruinatum",2,1,0.5
"Petteria ramentacea",3,1,0.333333333333333
"Peucedanum coriaceum",2,2,1
"Peucedanum officinale",15,4,0.266666666666667
"Peucedanum venetum",5,1,0.2
"Phelipanche bohemica",8,3,0.375
"Phelipanche camphorosmae",2,1,0.5
"Phitosia crocifolia",1,1,1
"Phleum crypsoides",3,1,0.333333333333333
"Phlomis brevibracteata",1,1,1
"Phlomis cypria",1,1,1
"Phyllis viscosa",1,1,1
"Phyteuma confusum",5,1,0.2
"Phyteuma cordatum",2,2,1
"Phyteuma hemisphaericum",6,1,0.166666666666667
"Phyteuma humile",3,1,0.333333333333333
"Phyteuma scorzonerifolium",3,1,0.333333333333333
"Phyteuma sieberi",3,1,0.333333333333333
"Picris hispidissima",2,1,0.5
"Pilosella anobrachia",4,1,0.25
"Pilosella arnoseroides",7,1,0.142857142857143
"Pilosella calomastix",7,1,0.142857142857143
"Pilosella cinereiformis",2,1,0.5
"Pilosella cochlearis",8,2,0.25
"Pilosella cymiflora",11,1,0.0909090909090909
"Pilosella dichotoma",1,1,1
"Pilosella dimorphoides",2,1,0.5
"Pilosella euchaetiiformis",1,1,1
"Pilosella fallacina",9,1,0.111111111111111
"Pilosella × heterodoxa",6,1,0.166666666666667
"Pilosella heterodoxiformis",1,1,1
"Pilosella hybrida",5,1,0.2
"Pilosella latisquamiformis",1,1,1
"Pilosella leucopsilon",4,2,0.5
"Pilosella × melinomelas",4,1,0.25
"Pilosella moechiadia",1,1,1
"Pilosella peleteriana",7,3,0.428571428571429
"Pilosella × peteriana",8,1,0.125
"Pilosella petraea",3,1,0.333333333333333
"Pilosella pilosellina",6,1,0.166666666666667
"Pilosella × polymastix",11,1,0.0909090909090909
"Pilosella × promeces",4,1,0.25
"Pilosella × rubra",7,1,0.142857142857143
"Pilosella sphaerocephala",8,1,0.125
"Pilosella sulphurea",10,1,0.1
"Pilosella tubulascens",3,1,0.333333333333333
"Pilosella visianii",8,2,0.25
"Pimpinella anagodendron",1,1,1
"Pimpinella bicknellii",1,1,1
"Pimpinella pretenderis",2,1,0.5
"Pimpinella rupicola",1,1,1
"Pimpinella serbica",2,1,0.5
"Pimpinella tragium",2,1,0.5
"Pinguicula crystallina",3,3,1
"Pinguicula dertosensis",1,1,1
"Pinguicula fiorii",1,1,1
"Pinguicula grandiflora",5,2,0.4
"Pinguicula leptoceras",5,1,0.2
"Pinguicula longifolia",3,2,0.666666666666667
"Pinguicula mariae",1,1,1
"Pinguicula mundi",1,1,1
"Pinguicula nevadensis",1,1,1
"Pinguicula sehuensis",1,1,1
"Pinguicula vallisneriifolia",1,1,1
"Pinguicula vallis-regiae",1,1,1
"Pinus heldreichii",5,1,0.2
"Pinus mugo",14,2,0.142857142857143
"Pinus peuce",4,1,0.25
"Pinus × rhaetica",8,1,0.125
"Pinus uncinata",8,1,0.125
"Pistorinia hispanica",2,1,0.5
"Plagius flosculosus",2,1,0.5
"Plantago algarbiensis",2,2,1
"Plantago atrata",12,2,0.166666666666667
"Plantago dardanae",1,1,1
"Plantago famarae",1,1,1
"Plantago peloritana",1,1,1
"Plantago schwarzenbergiana",3,1,0.333333333333333
"Plantago strictissima",12,1,0.0833333333333333
"Pleiomeris canariensis",1,1,1
"Pleudia herbanica",1,1,1
"Pleurospermum austriacum",15,7,0.466666666666667
"Poa dolosa",2,1,0.5
"Poa laxa",11,1,0.0909090909090909
"Poa margilicola",1,1,1
"Poa minor",8,1,0.125
"Poa pitardiana",1,1,1
"Poa pumila",6,1,0.166666666666667
"Poa rehmannii",2,1,0.5
"Poa sejuncta",1,1,1
"Poa stiriaca",6,1,0.166666666666667
"Polygala alpestris",8,2,0.25
"Polygala amara",6,2,0.333333333333333
"Polygala calcarea",7,3,0.428571428571429
"Polygala doerfleri",2,1,0.5
"Polygala exilis",3,1,0.333333333333333
"Polygala forojulensis",3,2,0.666666666666667
"Polygala sardoa",1,1,1
"Polygala sinisica",1,1,1
"Polygaloides vayredae",1,1,1
"Polygonum albanicum",3,1,0.333333333333333
"Polygonum scoparium",2,1,0.5
"Polypodium × shivasiae",2,1,0.5
"Potamogeton × lintonii",4,1,0.25
"Potentilla alpicola",2,1,0.5
"Potentilla alsatica",1,1,1
"Potentilla apennina",4,1,0.25
"Potentilla arcadiensis",1,1,1
"Potentilla carniolica",1,1,1
"Potentilla cinerea",5,1,0.2
"Potentilla clusiana",6,2,0.333333333333333
"Potentilla doerfleri",1,1,1
"Potentilla emilii-popii",2,2,1
"Potentilla haynaldiana",4,1,0.25
"Potentilla leucopolitana",4,2,0.5
"Potentilla montenegrina",3,2,0.666666666666667
"Potentilla nicicii",3,1,0.333333333333333
"Potentilla praecox",2,2,1
"Potentilla pusilla",12,3,0.25
"Potentilla subarenaria",6,2,0.333333333333333
"Potentilla tommasiniana",8,1,0.125
"Potentilla visianii",2,2,1
"Potentilla wismariensis",1,1,1
"Prangos trifida",7,1,0.142857142857143
"Primula auricula",10,4,0.4
"Primula deorum",1,1,1
"Primula frondosa",1,1,1
"Primula glutinosa",4,1,0.25
"Primula halleri",11,3,0.272727272727273
"Primula minima",10,2,0.2
"Primula palinuri",1,1,1
"Primula pedemontana",3,1,0.333333333333333
"Primula pubescens",3,1,0.333333333333333
"Primula scandinavica",2,1,0.5
"Primula × venusta",2,1,0.5
"Prolongoa hispanica",2,1,0.5
"Prometheum tymphaeum",1,1,1
"Prospero elisae",3,1,0.333333333333333
"Prospero paratethycum",2,1,0.5
"Prunus × eminens",2,1,0.5
"Prunus ramburii",1,1,1
"Pseudomisopates rivas-martinezii",1,1,1
"Pseudoscabiosa limonifolia",1,1,1
"Pseudostellaria europaea",4,2,0.5
"Pterocephalus virens",1,1,1
"Pteroselinum austriacum",10,1,0.1
"Ptilostemon greuteri",1,1,1
"Ptychotis sardoa",1,1,1
"Ptychotis saxifraga",4,1,0.25
"Puccinellia × pannonica",4,1,0.25
"Pulmonaria australis",4,1,0.25
"Pulmonaria collina",2,1,0.5
"Pulmonaria montana",5,2,0.4
"Pulsatilla alpina",7,2,0.285714285714286
"Pulsatilla grandis",8,4,0.5
"Pulsatilla halleri",8,6,0.75
"Pulsatilla montana",7,1,0.142857142857143
"Pyrola carpatica",4,1,0.25
"Pyrus magyarica",1,1,1
"Quercus × crenata",4,1,0.25
"Quercus × kerneri",9,1,0.111111111111111
"Quercus pauciradiata",1,1,1
"Quercus × streimii",11,1,0.0909090909090909
"Ramonda nathaliae",2,1,0.5
"Ramonda serbica",4,4,1
"Ranunculus abbaianus",1,1,1
"Ranunculus abnormis",2,1,0.5
"Ranunculus aemulans",1,1,1
"Ranunculus alnetorum",3,1,0.333333333333333
"Ranunculus alsaticus",3,1,0.333333333333333
"Ranunculus altitatrensis",1,1,1
"Ranunculus ambranus",1,1,1
"Ranunculus angulatus",1,1,1
"Ranunculus argoviensis",5,1,0.2
"Ranunculus basitruncatus",1,1,1
"Ranunculus borchers-kolbiae",1,1,1
"Ranunculus bupleuroides",2,1,0.5
"Ranunculus cacuminis",2,1,0.5
"Ranunculus carinthiacus",9,1,0.111111111111111
"Ranunculus carpaticus",3,1,0.333333333333333
"Ranunculus cassubicifolius",5,1,0.2
"Ranunculus chrysoleptos",2,1,0.5
"Ranunculus concinnatus",2,1,0.5
"Ranunculus constans",1,1,1
"Ranunculus cordiger",2,1,0.5
"Ranunculus crenatolobus",1,1,1
"Ranunculus crenatus",8,1,0.125
"Ranunculus creticus",2,1,0.5
"Ranunculus dactylophyllus",1,1,1
"Ranunculus degenii",2,1,0.5
"Ranunculus doerrii",1,1,1
"Ranunculus fiorii",1,1,1
"Ranunculus flabellifolius",2,1,0.5
"Ranunculus fluitans",18,8,0.444444444444444
"Ranunculus fontanus",6,3,0.5
"Ranunculus fraelensis",1,1,1
"Ranunculus giordanoi",1,1,1
"Ranunculus haasii",1,1,1
"Ranunculus hayekii",3,1,0.333333333333333
"Ranunculus henriquesii",2,1,0.5
"Ranunculus hevellus",2,1,0.5
"Ranunculus hostiliensis",1,1,1
"Ranunculus indecorus",5,1,0.2
"Ranunculus kunzii",1,1,1
"Ranunculus kykkoensis",1,1,1
"Ranunculus leptomeris",4,1,0.25
"Ranunculus lunaris",2,1,0.5
"Ranunculus mediosectus",1,1,1
"Ranunculus mergenthaleri",1,1,1
"Ranunculus montserratii",1,1,1
"Ranunculus mutinensis",1,1,1
"Ranunculus nemorosifolius",2,1,0.5
"Ranunculus noricus",1,1,1
"Ranunculus ololeucos",6,2,0.333333333333333
"Ranunculus opimus",2,1,0.5
"Ranunculus oxyodon",1,1,1
"Ranunculus palmularis",1,1,1
"Ranunculus pannonicus",4,1,0.25
"Ranunculus parnassifolius",3,1,0.333333333333333
"Ranunculus pedemontanus",1,1,1
"Ranunculus phragmiteti",4,2,0.5
"Ranunculus platanifolius",17,1,0.0588235294117647
"Ranunculus polyanthemophyllus",5,1,0.2
"Ranunculus praetermissus",1,1,1
"Ranunculus pseudoaemulans",1,1,1
"Ranunculus radinotrichus",1,1,1
"Ranunculus recticaulis",1,1,1
"Ranunculus revelierei",2,1,0.5
"Ranunculus rhombilobus",1,1,1
"Ranunculus rostratulus",1,1,1
"Ranunculus rotundatus",1,1,1
"Ranunculus seguieri",6,2,0.333333333333333
"Ranunculus serpens",6,2,0.333333333333333
"Ranunculus staubii",2,1,0.5
"Ranunculus stojanovii",1,1,1
"Ranunculus sylviae",1,1,1
"Ranunculus thora",11,1,0.0909090909090909
"Ranunculus transiens",1,1,1
"Ranunculus truniacus",1,1,1
"Ranunculus udicola",1,1,1
"Ranunculus variabilis",3,2,0.666666666666667
"Ranunculus varicus",1,1,1
"Ranunculus veronicae",1,1,1
"Ranunculus vindobonensis",1,1,1
"Ranunculus wettsteinii",2,1,0.5
"Ranunculus weyleri",1,1,1
"Reichardia famarae",1,1,1
"Reichardia macrophylla",2,1,0.5
"Reseda barrelieri",2,1,0.5
"Reseda complicata",1,1,1
"Reseda gredensis",2,1,0.5
"Rhamnus × intermedia",3,3,1
"Rhamnus lojaconoi",1,1,1
"Rhamnus lycioides",2,1,0.5
"Rhamnus persicifolia",1,1,1
"Rhamnus saxatilis",13,2,0.153846153846154
"Rhaponticoides centaurium",1,1,1
"Rhaponticum canariense",1,1,1
"Rhaponticum heleniifolium",4,1,0.25
"Rhaponticum longifolium",1,1,1
"Rhinanthus borbasii",5,2,0.4
"Rhinanthus freynii",3,1,0.333333333333333
"Rhinanthus helenae",2,1,0.5
"Rhinanthus javorkae",1,1,1
"Rhinanthus melampyroides",2,1,0.5
"Rhinanthus rumelicus",9,1,0.111111111111111
"Rhinanthus wagneri",6,1,0.166666666666667
"Rhizobotrya alpina",1,1,1
"Rhodanthemum arundanum",1,1,1
"Rhododendron hirsutum",6,2,0.333333333333333
"Ribes sardoum",1,1,1
"Rivasgodaya nervosa",1,1,1
"Romulea arnaudii",1,1,1
"Romulea corsica",1,1,1
"Romulea florentii",1,1,1
"Romulea melitensis",1,1,1
"Romulea revelieri",3,2,0.666666666666667
"Rorippa valdes-bermejoi",1,1,1
"Rosa abietina",6,1,0.166666666666667
"Rosa chavinii",3,1,0.333333333333333
"Rosa inodora",20,7,0.35
"Rosa pseudoscabriuscula",13,2,0.153846153846154
"Rosa rhaetica",3,1,0.333333333333333
"Rosa zalana",8,1,0.125
"Rothmaleria granatensis",1,1,1
"Rubus ambrosius",6,1,0.166666666666667
"Rubus amphimalacus",3,1,0.333333333333333
"Rubus barberi",3,3,1
"Rubus caflischii",3,1,0.333333333333333
"Rubus camptostachys",8,1,0.125
"Rubus chaerophylloides",2,1,0.5
"Rubus christiansenorum",1,1,1
"Rubus circipanicus",3,1,0.333333333333333
"Rubus confusidens",2,1,0.5
"Rubus cordatiformis",1,1,1
"Rubus cordiformis",2,1,0.5
"Rubus correctispinosus",1,1,1
"Rubus curvaciculatus",4,1,0.25
"Rubus dasyphyllus",8,1,0.125
"Rubus decurrentispinus",5,1,0.2
"Rubus dissimulans",4,1,0.25
"Rubus egregiusculus",2,1,0.5
"Rubus eiderianus",1,1,1
"Rubus firmus",4,2,0.5
"Rubus flaccidifolius",3,1,0.333333333333333
"Rubus frisicus",2,1,0.5
"Rubus geminatus",3,1,0.333333333333333
"Rubus gillotii",2,1,0.5
"Rubus glauciformis",4,2,0.5
"Rubus gothicus",7,1,0.142857142857143
"Rubus gracilis",7,1,0.142857142857143
"Rubus guestphalicoides",5,1,0.2
"Rubus guestphalicus",2,1,0.5
"Rubus hadracanthus",5,1,0.2
"Rubus hallandicus",3,2,0.666666666666667
"Rubus incarnatus",4,1,0.25
"Rubus langei",4,1,0.25
"Rubus libertianus",4,1,0.25
"Rubus lignicensis",2,1,0.5
"Rubus lindebergii",6,1,0.166666666666667
"Rubus lindleyanus",6,1,0.166666666666667
"Rubus lividus",3,1,0.333333333333333
"Rubus loehrii",5,1,0.2
"Rubus lusaticus",3,2,0.666666666666667
"Rubus macrophyllus",14,2,0.142857142857143
"Rubus marianus",2,1,0.5
"Rubus martensenii",2,1,0.5
"Rubus micans",8,2,0.25
"Rubus montanus",15,1,0.0666666666666667
"Rubus mortensenii",3,1,0.333333333333333
"Rubus muenteri",5,2,0.4
"Rubus nemorosus",11,2,0.181818181818182
"Rubus onsalaensis",1,1,1
"Rubus orthostachyoides",5,1,0.2
"Rubus pallidifolius",2,1,0.5
"Rubus passaviensis",3,1,0.333333333333333
"Rubus phoenicacanthus",3,1,0.333333333333333
"Rubus phylloglotta",2,1,0.5
"Rubus phyllothyrsos",2,1,0.5
"Rubus platycephalus",2,1,0.5
"Rubus polybracteatus",1,1,1
"Rubus posnaniensis",2,1,0.5
"Rubus pruinosus",11,2,0.181818181818182
"Rubus pseudothyrsanthus",2,1,0.5
"Rubus rhombifolius",3,1,0.333333333333333
"Rubus rufescens",6,1,0.166666666666667
"Rubus rugulosus",1,1,1
"Rubus scaber",7,2,0.285714285714286
"Rubus scabrosus",4,1,0.25
"Rubus sciocharis",7,2,0.285714285714286
"Rubus scissoides",13,1,0.0769230769230769
"Rubus sendtneri",3,2,0.666666666666667
"Rubus septentrionalis",5,1,0.2
"Rubus septifolius",2,1,0.5
"Rubus silvae-norticae",3,1,0.333333333333333
"Rubus silvaticus",8,1,0.125
"Rubus soendrumensis",1,1,1
"Rubus sorbicus",2,1,0.5
"Rubus sprengeliusculus",2,1,0.5
"Rubus stereacanthos",6,1,0.166666666666667
"Rubus stormanicus",1,1,1
"Rubus tabanimontanus",5,1,0.2
"Rubus tiliaster",4,1,0.25
"Rubus wahlbergii",7,1,0.142857142857143
"Rubus wessbergii",3,1,0.333333333333333
"Rumex rupestris",3,2,0.666666666666667
"Rumex suffruticosus",2,1,0.5
"Ruta lamarmorae",1,1,1
"Ruta microcarpa",1,1,1
"Ruta oreojasme",1,1,1
"Rutheopsis herbanica",1,1,1
"Sabulina glaucina",3,1,0.333333333333333
"Sabulina velenovskyi",3,1,0.333333333333333
"Sagina glabra",3,1,0.333333333333333
"Sagina × normaniana",5,1,0.2
"Salicornia europaea",13,2,0.153846153846154
"Salicornia nitens",3,1,0.333333333333333
"Salicornia pusilla",11,2,0.181818181818182
"Salix alpina",8,3,0.375
"Salix apennina",2,1,0.5
"Salix appendiculata",10,1,0.1
"Salix arrigonii",1,1,1
"Salix bicolor",9,5,0.555555555555556
"Salix breviserrata",6,2,0.333333333333333
"Salix glabra",5,2,0.4
"Salix hegetschweileri",4,1,0.25
"Salix helvetica",6,1,0.166666666666667
"Salix kitaibeliana",14,1,0.0714285714285714
"Salix laggeri",4,1,0.25
"Salix retusa",14,1,0.0714285714285714
"Salix tarraconensis",1,1,1
"Salix waldsteiniana",7,1,0.142857142857143
"Salix xanthicola",2,1,0.5
"Salsola melitensis",1,1,1
"Salvia brachyodon",1,1,1
"Salvia broussonetii",1,1,1
"Salvia candelabrum",1,1,1
"Salvia granatensis",1,1,1
"Salvia scabiosifolia",2,1,0.5
"Salvia veneris",1,1,1
"Sanguisorba albanica",2,2,1
"Santolina ageratifolia",1,1,1
"Santolina elegans",1,1,1
"Santolina melidensis",1,1,1
"Santolina neapolitana",1,1,1
"Saponaria aenesia",1,1,1
"Saponaria bellidifolia",8,3,0.375
"Saponaria lutea",3,1,0.333333333333333
"Sarcocapnos baetica",1,1,1
"Satureja horvatii",2,1,0.5
"Saussurea discolor",10,2,0.2
"Saussurea esthonica",1,1,1
"Saussurea porcii",2,1,0.5
"Saussurea pygmaea",6,1,0.166666666666667
"Saxifraga biternata",1,1,1
"Saxifraga bourgaeana",1,1,1
"Saxifraga caesia",9,1,0.111111111111111
"Saxifraga caprariae",1,1,1
"Saxifraga cintrana",1,1,1
"Saxifraga federici-augusti",3,1,0.333333333333333
"Saxifraga felineri",1,1,1
"Saxifraga florulenta",2,1,0.5
"Saxifraga gemmulosa",1,1,1
"Saxifraga genesiana",1,1,1
"Saxifraga glabella",5,1,0.2
"Saxifraga hostii",7,1,0.142857142857143
"Saxifraga montis-christi",1,1,1
"Saxifraga mutata",8,3,0.375
"Saxifraga osloensis",3,1,0.333333333333333
"Saxifraga paradoxa",2,1,0.5
"Saxifraga pedemontana",3,1,0.333333333333333
"Saxifraga prenja",2,1,0.5
"Saxifraga retusa",9,2,0.222222222222222
"Saxifraga scardica",3,1,0.333333333333333
"Saxifraga sedoides",4,1,0.25
"Saxifraga seguieri",4,1,0.25
"Saxifraga spruneri",3,1,0.333333333333333
"Saxifraga taygetea",3,1,0.333333333333333
"Saxifraga tenella",3,1,0.333333333333333
"Saxifraga tombeanensis",1,1,1
"Scabiosa fumarioides",1,1,1
"Scabiosa lucida",12,1,0.0833333333333333
"Scabiosa triandra",11,1,0.0909090909090909
"Schizogyne glaberrima",1,1,1
"Schoenus × scheuchzeri",6,1,0.166666666666667
"Scilla albanica",1,1,1
"Scilla dimartinoi",1,1,1
"Scilla kladnii",5,1,0.2
"Scilla lakusicii",1,1,1
"Scilla litardierei",2,2,1
"Scilla lochiae",1,1,1
"Scilla morrisii",1,1,1
"Scilla vindobonensis",6,1,0.166666666666667
"Scleranthus aetnensis",1,1,1
"Scorzonera rosea",10,2,0.2
"Scorzonera scyria",1,1,1
"Scorzoneroides microcephala",1,1,1
"Scorzoneroides montana",6,1,0.166666666666667
"Scrophularia bosniaca",2,1,0.5
"Scrophularia bourgaeana",2,1,0.5
"Scrophularia calliantha",1,1,1
"Scrophularia heterophylla",2,1,0.5
"Scrophularia laciniata",5,1,0.2
"Scrophularia valdesii",2,2,1
"Scrophularia viciosoi",1,1,1
"Scutellaria alpina",10,2,0.2
"Scutellaria rupestris",2,1,0.5
"Securigera elegans",9,2,0.222222222222222
"Sedum aquilanum",1,1,1
"Sedum microstachyum",1,1,1
"Sedum stefco",3,1,0.333333333333333
"Selinum broteroi",3,1,0.333333333333333
"Semele gayae",1,1,1
"Sempervivum × alatum",4,1,0.25
"Sempervivum ciliosum",4,1,0.25
"Sempervivum grandiflorum",2,1,0.5
"Sempervivum marmoreum",10,2,0.2
"Sempervivum pittonii",1,1,1
"Sempervivum wulfenii",3,1,0.333333333333333
"Senecio bollei",1,1,1
"Senecio borysthenicus",3,1,0.333333333333333
"Senecio cambrensis",1,1,1
"Senecio doronicum",13,2,0.153846153846154
"Senecio × eboracensis",1,1,1
"Senecio elodes",1,1,1
"Senecio eubaeus",1,1,1
"Senecio fontanicola",3,2,0.666666666666667
"Senecio lopezii",2,1,0.5
"Senecio morisii",1,1,1
"Senecio nevadensis",1,1,1
"Senecio pyrenaicus",3,1,0.333333333333333
"Senecio quinqueradiatus",1,1,1
"Senecio rosinae",1,1,1
"Senecio ruthenensis",1,1,1
"Senecio scopolii",4,1,0.25
"Senecio thapsoides",3,1,0.333333333333333
"Senecio umbrosus",8,3,0.375
"Serapias × occidentalis",2,1,0.5
"Serapias perez-chiscanoi",2,1,0.5
"Seseli bulgaricum",1,1,1
"Seseli degenii",1,1,1
"Seseli farrenyi",1,1,1
"Seseli globiferum",1,1,1
"Seseli hercegovinum",4,1,0.25
"Seseli intricatum",1,1,1
"Seseli osseum",5,1,0.2
"Seseli rigidum",6,1,0.166666666666667
"Seseli varium",9,2,0.222222222222222
"Sesleria bielzii",6,1,0.166666666666667
"Sesleria heufleriana",4,2,0.5
"Sesleria ovata",5,1,0.2
"Sesleria robusta",4,1,0.25
"Sesleria sadleriana",4,1,0.25
"Sesleria wettsteinii",2,1,0.5
"Sesleriella sphaerocephala",4,1,0.25
"Siculosciadium nebrodense",1,1,1
"Sideritis amagroi",1,1,1
"Sideritis brevicaulis",1,1,1
"Sideritis chamaedryfolia",1,1,1
"Sideritis cretica",1,1,1
"Sideritis cypria",1,1,1
"Sideritis cystosiphon",1,1,1
"Sideritis discolor",1,1,1
"Sideritis endressii",2,1,0.5
"Sideritis eriocephala",1,1,1
"Sideritis euboea",1,1,1
"Sideritis ferrensis",1,1,1
"Sideritis glauca",1,1,1
"Sideritis guayedrae",1,1,1
"Sideritis hyssopifolia",4,2,0.5
"Sideritis infernalis",1,1,1
"Sideritis kuegleriana",1,1,1
"Sideritis marmorea",1,1,1
"Sideritis montserratiana",2,1,0.5
"Sideritis nervosa",1,1,1
"Sideritis nutans",1,1,1
"Sideritis pumila",1,1,1
"Sideritis raeseri",3,2,0.666666666666667
"Sideritis reverchonii",1,1,1
"Sideritis scardica",4,2,0.5
"Sideritis serrata",1,1,1
"Sideritis stachydioides",1,1,1
"Sideritis sventenii",1,1,1
"Sideroxylon canariense",1,1,1
"Silene ammophila",1,1,1
"Silene badaroi",2,2,1
"Silene berthelotiana",1,1,1
"Silene borderei",2,1,0.5
"Silene caliacrae",1,1,1
"Silene cambessedesii",1,1,1
"Silene cephallenia",1,1,1
"Silene ciliata",3,1,0.333333333333333
"Silene diclinis",1,1,1
"Silene dubia",4,1,0.25
"Silene fernandezii",1,1,1
"Silene flavescens",5,2,0.4
"Silene foetida",1,1,1
"Silene gaditana",1,1,1
"Silene gemmata",1,1,1
"Silene graeca",4,1,0.25
"Silene hicesiae",1,1,1
"Silene hifacensis",1,1,1
"Silene holzmannii",1,1,1
"Silene jailensis",1,1,1
"Silene lagunensis",1,1,1
"Silene legionensis",2,1,0.5
"Silene linicola",5,4,0.8
"Silene marizii",2,1,0.5
"Silene mellifera",2,1,0.5
"Silene nefelites",1,1,1
"Silene nemoralis",10,2,0.2
"Silene nocteolens",1,1,1
"Silene orphanidis",1,1,1
"Silene parnassica",4,1,0.25
"Silene peloritana",1,1,1
"Silene petrarchae",1,1,1
"Silene portensis",4,1,0.25
"Silene sabinosae",1,1,1
"Silene schwarzenbergeri",3,1,0.333333333333333
"Silene sennenii",1,1,1
"Silene stockenii",1,1,1
"Silene sytnikii",1,1,1
"Silene tamaranae",1,1,1
