"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Jacobaea uniflora",3,1,0.333333333333333,NA
"Jasione laevis",7,1,0.142857142857143,NA
"Jasione penicillata",1,1,1,NA
"Juncus emmanuelis",2,1,0.5,"Endangered"
"Juniperus phoenicea",4,1,0.25,"Least Concern"
"Jurinea fontqueri",1,1,1,"Critically Endangered"
"Jurinea taygetea",3,1,0.333333333333333,NA
"Jurinea tzar-ferdinandi",2,2,1,NA
"Karpatiosorbus adamii",1,1,1,NA
"Karpatiosorbus admonitor",1,1,1,NA
"Karpatiosorbus albensis",1,1,1,NA
"Karpatiosorbus alnifrons",1,1,1,NA
"Karpatiosorbus amici-petri",1,1,1,NA
"Karpatiosorbus andreanszkyana",1,1,1,NA
"Karpatiosorbus badensis",1,1,1,NA
"Karpatiosorbus bakonyensis",1,1,1,NA
"Karpatiosorbus balatonica",1,1,1,NA
"Karpatiosorbus barrandienica",1,1,1,NA
"Karpatiosorbus barthae",1,1,1,NA
"Karpatiosorbus bohemica",1,1,1,NA
"Karpatiosorbus borosiana",1,1,1,NA
"Karpatiosorbus bristoliensis",1,1,1,NA
"Karpatiosorbus decipientiformis",1,1,1,NA
"Karpatiosorbus devoniensis",2,1,0.5,NA
"Karpatiosorbus dolomiticola",1,1,1,NA
"Karpatiosorbus eugenii-kelleri",1,1,1,NA
"Karpatiosorbus eximia",1,1,1,NA
"Karpatiosorbus eystettensis",1,1,1,NA
"Karpatiosorbus gayeriana",1,1,1,NA
"Karpatiosorbus gemella",1,1,1,NA
"Karpatiosorbus gerecseensis",1,1,1,NA
"Karpatiosorbus haesitans",1,1,1,NA
"Karpatiosorbus herbipolitana",1,1,1,NA
"Karpatiosorbus hoppeana",1,1,1,NA
"Karpatiosorbus hybrida",8,2,0.25,NA
"Karpatiosorbus karpatii",1,1,1,NA
"Karpatiosorbus meierottii",1,1,1,NA
"Karpatiosorbus mergenthaleriana",1,1,1,NA
"Karpatiosorbus milensis",1,1,1,NA
"Karpatiosorbus omissa",1,1,1,NA
"Karpatiosorbus parviloba",1,1,1,NA
"Karpatiosorbus portae-bohemicae",1,1,1,NA
"Karpatiosorbus pseudobakonyensis",1,1,1,NA
"Karpatiosorbus pseudolatifolia",1,1,1,NA
"Karpatiosorbus pseudosemi-incisa",1,1,1,NA
"Karpatiosorbus pseudovertesensis",1,1,1,NA
"Karpatiosorbus puellarum",1,1,1,NA
"Karpatiosorbus redliana",1,1,1,NA
"Karpatiosorbus remensis",2,1,0.5,NA
"Karpatiosorbus rhodanthera",1,1,1,NA
"Karpatiosorbus schnizleiniana",1,1,1,NA
"Karpatiosorbus schuwerkiorum",1,1,1,NA
"Karpatiosorbus semi-incisa",1,1,1,NA
"Karpatiosorbus simonkaiana",1,1,1,NA
"Karpatiosorbus slovenica",2,1,0.5,NA
"Karpatiosorbus subcuneata",1,1,1,NA
"Karpatiosorbus vertesensis",1,1,1,NA
"Karpatiosorbus veszpremensis",1,1,1,NA
"Kernera saxatilis",13,2,0.153846153846154,NA
"Kickxia pendula",1,1,1,NA
"Klasea algarbiensis",1,1,1,NA
"Klasea boetica",1,1,1,NA
"Klasea bulgarica",3,3,1,NA
"Klasea flavescens",2,1,0.5,NA
"Klasea integrifolia",2,1,0.5,NA
"Klasea legionensis",2,2,1,NA
"Knautia albanica",2,1,0.5,NA
"Knautia collina",4,1,0.25,NA
"Knautia dinarica",4,1,0.25,NA
"Knautia dipsacifolia",7,3,0.428571428571429,NA
"Knautia drymeia",8,1,0.125,NA
"Knautia fleischmannii",2,1,0.5,NA
"Knautia godetii",2,1,0.5,NA
"Knautia kitaibelii",5,3,0.6,NA
"Knautia midzorensis",3,1,0.333333333333333,NA
"Knautia nevadensis",2,1,0.5,NA
"Knautia × norica",1,1,1,NA
"Knautia transalpina",2,1,0.5,NA
"Knautia travnicensis",1,1,1,NA
"Knautia velebitica",1,1,1,NA
"Laburnum alpinum",8,1,0.125,"Least Concern"
"Lactuca longidentata",1,1,1,"Data Deficient"
"Lactuca perennis",17,3,0.176470588235294,"Data Deficient"
"Lactuca plumieri",8,1,0.125,"Data Deficient"
"Lactuca tetrantha",1,1,1,NA
"Lamium gevorense",3,1,0.333333333333333,NA
"Lamium orvala",5,1,0.2,NA
"Lamyropsis microcephala",1,1,1,"Critically Endangered"
"Larix polonica",2,1,0.5,NA
"Laser archangelica",5,3,0.6,NA
"Laserpitium longiradium",1,1,1,"Critically Endangered"
"Lathraea clandestina",5,1,0.2,NA
"Lathraea rhodopea",2,1,0.5,NA
"Lathyrus alpestris",4,2,0.5,NA
"Lathyrus bauhini",6,2,0.333333333333333,NA
"Lathyrus binatus",1,1,1,NA
"Lathyrus heterophyllus",11,4,0.363636363636364,"Least Concern"
"Lathyrus neurolobus",1,1,1,NA
"Lathyrus nudicaulis",3,2,0.666666666666667,NA
"Lathyrus pancicii",2,1,0.5,NA
"Lathyrus transsylvanicus",5,3,0.6,NA
"Lathyrus vivantii",2,1,0.5,NA
"Lavandula buchii",1,1,1,NA
"Leontodon berinii",2,1,0.5,NA
"Leontodon crispus",10,4,0.4,NA
"Leontodon farinosus",1,1,1,NA
"Leontodon incanus",11,1,0.0909090909090909,NA
"Leontopodium nivale",14,5,0.357142857142857,NA
"Leopoldia gussonei",1,1,1,"Endangered"
"Lepidium navasii",1,1,1,NA
"Leucanthemopsis alpina",4,1,0.25,NA
"Leucanthemum adustum",14,1,0.0714285714285714,NA
"Leucanthemum chloroticum",2,1,0.5,NA
"Leucanthemum corsicum",1,1,1,NA
"Leucanthemum crassifolium",4,1,0.25,NA
"Leucanthemum gallaecicum",1,1,1,NA
"Leucanthemum heterophyllum",5,1,0.2,NA
"Leucanthemum illyricum",1,1,1,NA
"Leucanthemum meridionale",1,1,1,NA
"Ligularia carpatica",4,1,0.25,NA
"Ligusticum albanicum",1,1,1,NA
"Lilium albanicum",4,2,0.5,NA
"Lilium carniolicum",3,1,0.333333333333333,NA
"Lilium jankae",5,2,0.4,"Data Deficient"
"Lilium pomponium",2,1,0.5,"Least Concern"
"Lilium rhodopeum",2,2,1,"Vulnerable"
"Limbarda crithmoides",5,1,0.2,NA
"Limonium aegusae",1,1,1,NA
"Limonium albidum",1,1,1,NA
"Limonium album",1,1,1,NA
"Limonium algusae",1,1,1,NA
"Limonium alicunense",1,1,1,NA
"Limonium antonii-llorensii",1,1,1,NA
"Limonium aphroditae",1,1,1,NA
"Limonium aragonense",1,1,1,NA
"Limonium asterotrichum",1,1,1,NA
"Limonium aucheri",2,1,0.5,NA
"Limonium barceloi",1,1,1,NA
"Limonium benmageci",1,1,1,NA
"Limonium biflorum",1,1,1,NA
"Limonium boirae",1,1,1,NA
"Limonium bonifaciense",1,1,1,NA
"Limonium bourgeaui",1,1,1,NA
"Limonium brassicifolium",1,1,1,NA
"Limonium brutium",1,1,1,NA
"Limonium bulgaricum",1,1,1,NA
"Limonium calabrum",1,1,1,"Critically Endangered"
"Limonium calcarae",1,1,1,NA
"Limonium calliopsium",1,1,1,NA
"Limonium capitis-eliae",1,1,1,NA
"Limonium carisae",1,1,1,NA
"Limonium carpetanicum",1,1,1,NA
"Limonium carthaginense",1,1,1,NA
"Limonium carvalhoi",1,1,1,NA
"Limonium catanense",1,1,1,NA
"Limonium catanzaroi",1,1,1,NA
"Limonium cophanense",1,1,1,NA
"Limonium cordatum",2,1,0.5,NA
"Limonium cordovillense",1,1,1,NA
"Limonium corinthiacum",1,1,1,NA
"Limonium cornarianum",1,1,1,NA
"Limonium cumanum",1,1,1,NA
"Limonium cythereum",1,1,1,NA
"Limonium daveaui",1,1,1,NA
"Limonium dendroides",1,1,1,"Critically Endangered"
"Limonium densissimum",3,1,0.333333333333333,NA
"Limonium diomedeum",1,1,1,NA
"Limonium doriae",1,1,1,NA
"Limonium dufourii",1,1,1,NA
"Limonium ejulabilis",1,1,1,NA
"Limonium elaphonisicum",1,1,1,NA
"Limonium estevei",1,1,1,NA
"Limonium etruscum",1,1,1,NA
"Limonium florentinum",1,1,1,NA
"Limonium fontqueri",2,1,0.5,NA
"Limonium frutescens",1,1,1,NA
"Limonium gorgonae",1,1,1,NA
"Limonium grosii",1,1,1,NA
"Limonium humile",9,3,0.333333333333333,NA
"Limonium imbricatum",1,1,1,NA
"Limonium inarimense",1,1,1,NA
"Limonium inexpectans",1,1,1,NA
"Limonium interjectum",1,1,1,NA
"Limonium intermedium",1,1,1,NA
"Limonium ionicum",1,1,1,NA
"Limonium kardamylii",1,1,1,NA
"Limonium lacinium",1,1,1,NA
"Limonium lambinonii",1,1,1,NA
"Limonium lausianum",1,1,1,NA
"Limonium laxiusculum",1,1,1,NA
"Limonium leonardi-llorensii",1,1,1,NA
"Limonium longibracteatum",1,1,1,NA
"Limonium macrophyllum",1,1,1,NA
"Limonium magallufianum",1,1,1,NA
"Limonium majus",1,1,1,NA
"Limonium malacitanum",1,1,1,NA
"Limonium mansanetianum",1,1,1,NA
"Limonium marisolii",1,1,1,NA
"Limonium maritimum",1,1,1,NA
"Limonium messeniacum",1,1,1,NA
"Limonium migjornense",1,1,1,NA
"Limonium minus",1,1,1,NA
"Limonium morisianum",1,1,1,NA
"Limonium mucronulatum",1,1,1,NA
"Limonium multiflorum",1,1,1,"Least Concern"
"Limonium multiforme",1,1,1,NA
"Limonium nydeggeri",1,1,1,NA
"Limonium opulentum",1,1,1,NA
"Limonium pachynense",1,1,1,NA
"Limonium pandatariae",1,1,1,NA
"Limonium panormitanum",1,1,1,NA
"Limonium patrimoniense",1,1,1,NA
"Limonium perplexum",1,1,1,NA
"Limonium peucetium",1,1,1,NA
"Limonium pinillense",1,1,1,NA
"Limonium planesiae",1,1,1,NA
"Limonium plurisquamatum",1,1,1,NA
"Limonium pontium",1,1,1,NA
"Limonium portovecchiense",1,1,1,NA
"Limonium preauxii",1,1,1,"Endangered"
"Limonium pseudodictyocladum",1,1,1,NA
"Limonium pseudolaetum",1,1,1,"Near Threatened"
"Limonium puberulum",1,1,1,NA
"Limonium quesadense",1,1,1,NA
"Limonium recurvum",1,1,1,NA
"Limonium redivivum",1,1,1,NA
"Limonium relicticum",1,1,1,NA
"Limonium revolutum",1,1,1,NA
"Limonium rigualii",1,1,1,NA
"Limonium ruizii",1,1,1,NA
"Limonium santapolense",1,1,1,NA
"Limonium scopulorum",1,1,1,NA
"Limonium secundirameum",1,1,1,NA
"Limonium sibthorpianum",1,1,1,"Critically Endangered"
"Limonium silvestrei",1,1,1,NA
"Limonium soboliferum",1,1,1,NA
"Limonium spectabile",1,1,1,"Critically Endangered"
"Limonium squarrosum",1,1,1,NA
"Limonium stenophyllum",1,1,1,NA
"Limonium strictissimum",2,2,1,"Endangered"
"Limonium subglabrum",1,1,1,NA
"Limonium sucronicum",1,1,1,NA
"Limonium sventenii",1,1,1,"Critically Endangered"
"Limonium tabernense",1,1,1,NA
"Limonium tarcoense",1,1,1,NA
"Limonium tauromenitanum",1,1,1,NA
"Limonium tenoreanum",1,1,1,NA
"Limonium thiniense",1,1,1,NA
"Limonium todaroanum",1,1,1,NA
"Limonium ugijarense",1,1,1,NA
"Limonium vigaroense",1,1,1,NA
"Limonium vigoi",1,1,1,NA
"Limonium wiedmannii",1,1,1,NA
"Linaria alpina",12,3,0.25,NA
"Linaria amoi",1,1,1,NA
"Linaria angustissima",12,1,0.0833333333333333,NA
"Linaria arenaria",3,1,0.333333333333333,NA
"Linaria clementei",1,1,1,NA
"Linaria glacialis",1,1,1,NA
"Linaria huteri",1,1,1,NA
"Linaria intricata",2,1,0.5,NA
"Linaria loeselii",3,1,0.333333333333333,"Near Threatened"
"Linaria nigricans",1,1,1,NA
"Linaria oblongifolia",1,1,1,NA
"Linaria orbensis",1,1,1,NA
"Linaria polygalifolia",2,1,0.5,NA
"Linaria ricardoi",1,1,1,"Near Threatened"
"Linum dolomiticum",1,1,1,"Data Deficient"
"Linum elegans",5,2,0.4,NA
"Linum hellenicum",1,1,1,NA
"Linum leonii",3,2,0.666666666666667,NA
"Linum uninerve",2,1,0.5,NA
"Linum viscosum",6,2,0.333333333333333,NA
"Logfia neglecta",4,4,1,NA
"Lolium saxatile",1,1,1,NA
"Lomelosia minoana",1,1,1,NA
"Lomelosia pulsatilloides",1,1,1,NA
"Lonicera alpigena",10,2,0.2,"Least Concern"
"Lonicera borbasiana",1,1,1,NA
"Lonicera glutinosa",2,1,0.5,NA
"Lonicera nigra",15,1,0.0666666666666667,"Least Concern"
"Lotus arinagensis",1,1,1,NA
"Lotus berthelotii",1,1,1,NA
"Lotus borbasii",4,2,0.5,NA
"Lotus broussonetii",1,1,1,NA
"Lotus callis-viridis",1,1,1,"Endangered"
"Lotus dumetorum",1,1,1,NA
"Lotus emeroides",1,1,1,NA
"Lotus eremiticus",1,1,1,"Critically Endangered"
"Lotus eriophthalmus",1,1,1,NA
"Lotus fulgurans",1,1,1,NA
"Lotus kunkelii",1,1,1,"Critically Endangered"
"Lotus maculatus",1,1,1,"Critically Endangered"
"Lotus mascaensis",1,1,1,NA
"Lotus pyranthus",1,1,1,"Critically Endangered"
"Lotus spartioides",1,1,1,NA
"Lotus spectabilis",1,1,1,NA
"Lunaria telekiana",2,2,1,NA
"Lupinus mariae-josephae",1,1,1,NA
"Luronium natans",17,8,0.470588235294118,"Least Concern"
"Luzula × borreri",4,1,0.25,NA
"Luzula nivea",8,1,0.125,NA
"Luzula pindica",5,1,0.2,NA
"Lycopodium × oellgaardii",7,4,0.571428571428571,NA
"Lysimachia minoricensis",1,1,1,"Extinct in the Wild"
"Majovskya algoviensis",2,1,0.5,NA
"Majovskya haljamovae",1,1,1,NA
"Majovskya zuzanae",1,1,1,NA
"Malcolmia graeca",2,1,0.5,NA
"Malcolmia orsiniana",3,2,0.666666666666667,NA
"Malva lusitanica",3,1,0.333333333333333,NA
"Malva oblongifolia",1,1,1,NA
"Malva phoenicea",1,1,1,NA
"Marcetella moquiniana",1,1,1,"Endangered"
"Marrubium friwaldskyanum",1,1,1,NA
"Marsilea batardae",2,1,0.5,"Endangered"
"Matthiola valesiaca",7,1,0.142857142857143,NA
"Mcneillia moraldoi",1,1,1,"Critically Endangered"
"Mcneillia pseudosaxifraga",2,1,0.5,NA
"Mcneillia saxifraga",2,1,0.5,NA
"Medicago muricoleptis",3,1,0.333333333333333,NA
"Medicago prostrata",7,3,0.428571428571429,"Least Concern"
"Medicago rhodopea",1,1,1,NA
"Medicago tenoreana",4,1,0.25,"Least Concern"
"Melampyrum barbatum",6,1,0.166666666666667,NA
"Melampyrum heracleoticum",3,1,0.333333333333333,NA
"Melampyrum herbichii",4,1,0.25,NA
"Melampyrum saxosum",4,1,0.25,NA
"Melampyrum subalpinum",2,1,0.5,NA
"Melampyrum trichocalicinum",2,1,0.5,NA
"Melica bocquetii",1,1,1,NA
"Melica teneriffae",1,1,1,NA
"Micromeria densiflora",1,1,1,NA
"Micromeria glomerata",1,1,1,"Critically Endangered"
"Micromeria kerneri",1,1,1,NA
"Micromeria leucantha",1,1,1,"Endangered"
"Micromeria longipedunculata",2,1,0.5,NA
"Micromeria pineolens",1,1,1,NA
"Micromeria rivas-martinezii",1,1,1,NA
"Minuartia adenotricha",2,1,0.5,NA
"Minuartia bosniaca",4,1,0.25,NA
"Minuartia graminifolia",2,1,0.5,NA
"Minuartia hirsuta",3,2,0.666666666666667,NA
"Minuartia stojanovii",2,1,0.5,NA
"Moehringia bavarica",4,1,0.25,NA
"Moehringia ciliata",7,1,0.142857142857143,NA
"Moehringia intermedia",2,1,0.5,NA
"Moehringia jankae",2,2,1,"Data Deficient"
"Moehringia lebrunii",2,1,0.5,NA
"Moehringia muscosa",14,1,0.0714285714285714,NA
"Moehringia papulosa",1,1,1,NA
"Moehringia tommasinii",2,1,0.5,"Endangered"
"Monanthes anagensis",1,1,1,NA
"Monanthes minima",1,1,1,NA
"Monanthes wildpretii",1,1,1,"Critically Endangered"
"Murbeckiella zanonii",2,1,0.5,NA
"Muscari cazorlanum",1,1,1,NA
"Muscari commutatum",3,1,0.333333333333333,NA
"Muscari gussonei",1,1,1,NA
"Myosotis rehsteineri",5,4,0.8,"Endangered"
"Myosotis solange",1,1,1,NA
"Myosotis soleirolii",2,1,0.5,"Least Concern"
"Myosotis tineoi",1,1,1,NA
"Myriolimon diffusum",3,3,1,NA
"Nananthea perpusilla",3,1,0.333333333333333,"Vulnerable"
"Narcissus alcaracensis",1,1,1,"Endangered"
"Narcissus confusus",1,1,1,NA
"Narcissus cyclamineus",2,1,0.5,"Least Concern"
"Narcissus flavus",2,1,0.5,NA
"Narcissus gaditanus",2,2,1,"Near Threatened"
"Narcissus hispanicus",4,1,0.25,NA
"Narcissus moschatus",2,1,0.5,NA
"Narcissus munozii-garmendiae",1,1,1,"Near Threatened"
"Narcissus nevadensis",1,1,1,"Endangered"
"Narcissus tortifolius",1,1,1,NA
"Narcissus willkommii",2,1,0.5,"Endangered"
"Narcissus yepesii",1,1,1,"Vulnerable"
"Narthecium scardicum",3,1,0.333333333333333,NA
"Naufraga balearica",1,1,1,"Critically Endangered"
"Nepeta caerulea",2,1,0.5,NA
"Nepeta foliosa",1,1,1,NA
"Nepeta sphaciotica",1,1,1,NA
"Nigella papillosa",2,1,0.5,NA
"Noccaea bellidifolia",4,1,0.25,NA
"Noccaea cretica",1,1,1,NA
"Noccaea goesingensis",5,1,0.2,NA
"Noccaea jankae",3,2,0.666666666666667,NA
"Noccaea kovatsii",7,1,0.142857142857143,NA
"Noccaea microphylla",3,1,0.333333333333333,NA
"Noccaea nevadensis",1,1,1,NA
"Noccaea praecox",5,1,0.2,NA
"Noccaea sylvia",3,1,0.333333333333333,NA
"Normeyera atrimontis",1,1,1,NA
"Normeyera caeruleomontana",1,1,1,NA
"Normeyera diversicolor",1,1,1,NA
"Normeyera margittaiana",1,1,1,NA
"Normeyera montisalpae",1,1,1,NA
"Normeyera salatini",1,1,1,NA
"Nothobartsia spicata",2,1,0.5,NA
"Odontites cebennensis",2,1,0.5,NA
"Odontites corsicus",2,1,0.5,NA
"Odontites kaliformis",1,1,1,NA
"Odontites litoralis",9,4,0.444444444444444,NA
"Odontites sillettii",1,1,1,NA
"Odontites viscosus",5,2,0.4,NA
"Oenanthe banatica",7,2,0.285714285714286,NA
"Oenanthe conioides",6,1,0.166666666666667,"Data Deficient"
"Oenanthe fluviatilis",6,2,0.333333333333333,"Near Threatened"
"Oenanthe montis-khortiati",3,2,0.666666666666667,NA
"Omalotheca hoppeana",11,1,0.0909090909090909,NA
"Omalotheca roeseri",3,2,0.666666666666667,NA
"Omphalodes verna",15,1,0.0666666666666667,NA
"Onobrychis pallasii",1,1,1,NA
"Onobrychis peloponnesiaca",1,1,1,NA
"Onobrychis sphaciotica",1,1,1,NA
"Ononis azcaratei",1,1,1,NA
"Ononis christii",1,1,1,NA
"Ononis hebecarpa",1,1,1,NA
"Ononis varelae",1,1,1,NA
"Onopordum carduelium",1,1,1,"Critically Endangered"
"Onosma caespitosa",1,1,1,NA
"Onosma helvetica",3,2,0.666666666666667,NA
"Onosma mattirolii",2,1,0.5,NA
"Onosma pseudoarenaria",4,1,0.25,NA
"Onosma stellulata",3,2,0.666666666666667,NA
"Onosma stridii",1,1,1,NA
"Onosma tornensis",3,1,0.333333333333333,"Endangered"
"Onosma tricerosperma",3,2,0.666666666666667,NA
"Onosma troodi",1,1,1,NA
"Onosma viridis",3,1,0.333333333333333,NA
"Ophrys bertolonii",3,1,0.333333333333333,"Least Concern"
"Ophrys × flavicans",4,1,0.25,NA
"Ophrys incubacea",6,1,0.166666666666667,NA
"Orchis pauciflora",5,1,0.2,"Least Concern"
"Oreochloa disticha",10,1,0.1,NA
"Origanum calcaratum",1,1,1,NA
"Origanum × lirium",1,1,1,NA
"Origanum vetteri",1,1,1,NA
"Ornithogalum amphibolum",4,2,0.5,NA
"Ornithogalum × degenianum",1,1,1,NA
"Ornithogalum exscapum",5,1,0.2,NA
"Ornithogalum oreoides",3,2,0.666666666666667,NA
"Ornithogalum pyramidale",8,2,0.25,NA
"Orobanche artemisiae-campestris",20,5,0.25,NA
"Orobanche cyrnea",1,1,1,NA
"Orobanche laserpitii-sileris",6,3,0.5,NA
"Orobanche lycoctoni",6,1,0.166666666666667,NA
"Orobanche pancicii",7,2,0.285714285714286,NA
"Orobanche salviae",8,3,0.375,NA
"Orobanche staehelinae",1,1,1,NA
"Orobanche thapsoides",1,1,1,NA
"Oxytropis carpatica",4,1,0.25,NA
"Oxytropis fetida",3,1,0.333333333333333,NA
"Oxytropis halleri",11,1,0.0909090909090909,NA
"Oxytropis jabalambrensis",1,1,1,NA
"Oxytropis kozhuharovii",1,1,1,NA
"Oxytropis neglecta",7,2,0.285714285714286,NA
"Oxytropis prenja",3,1,0.333333333333333,NA
"Oxytropis purpurea",2,1,0.5,NA
"Oxytropis urumovii",3,1,0.333333333333333,NA
"Paeonia parnassica",1,1,1,"Endangered"
"Papaver alpinum",11,1,0.0909090909090909,NA
"Papaver apulum",6,1,0.166666666666667,NA
"Papaver degenii",10,1,0.1,NA
"Papaver kerneri",10,1,0.1,NA
"Paradisea liliastrum",6,1,0.166666666666667,NA
"Paramoltkia doerfleri",3,1,0.333333333333333,NA
"Parapimpinella siifolia",2,1,0.5,NA
"Parolinia filifolia",1,1,1,NA
"Parolinia glabriuscula",1,1,1,NA
"Parolinia intermedia",1,1,1,NA
"Parolinia platypetala",1,1,1,NA
"Parolinia schizogynoides",1,1,1,"Vulnerable"
"Pedicularis acaulis",2,1,0.5,NA
"Pedicularis baumgartenii",1,1,1,NA
"Pedicularis brachyodonta",2,1,0.5,NA
"Pedicularis elongata",3,1,0.333333333333333,NA
"Pedicularis ernesti-mayeri",2,1,0.5,NA
"Pedicularis friderici-augusti",4,1,0.25,NA
"Pedicularis gyroflexa",3,1,0.333333333333333,NA
"Pedicularis hacquetii",8,1,0.125,NA
"Pedicularis hoermanniana",4,1,0.25,NA
"Pedicularis leucodon",3,2,0.666666666666667,NA
"Pedicularis petiolaris",5,1,0.2,NA
"Pedicularis recutita",6,1,0.166666666666667,NA
"Peltaria alliacea",6,1,0.166666666666667,NA
"Pentanema bifrons",8,1,0.125,NA
"Pentanema helenioides",2,1,0.5,NA
"Pentanema helveticum",5,3,0.6,NA
"Pericallis hadrosoma",1,1,1,"Critically Endangered"
"Pericallis hansenii",1,1,1,NA
"Pericallis multiflora",1,1,1,NA
"Peridictyon sanctum",2,1,0.5,NA
"Petagnaea gussonei",1,1,1,"Endangered"
"Petasites doerfleri",2,2,1,NA
"Petasites kablikianus",7,1,0.142857142857143,NA
"Petroana montserratii",1,1,1,NA
"Petrocallis pyrenaica",9,1,0.111111111111111,NA
"Petrocoptis glaucifolia",1,1,1,NA
"Petrocoptis grandiflora",1,1,1,"Vulnerable"
"Petrocoptis montserratii",1,1,1,NA
"Petrocoptis pardoi",1,1,1,NA
"Petrocoptis pyrenaica",2,1,0.5,NA
"Petrorhagia thessala",3,1,0.333333333333333,NA
"Petrosedum pruinatum",2,1,0.5,NA
"Petteria ramentacea",3,1,0.333333333333333,"Least Concern"
"Peucedanum coriaceum",2,2,1,NA
"Peucedanum officinale",15,4,0.266666666666667,NA
"Peucedanum venetum",5,1,0.2,NA
"Phelipanche bohemica",8,3,0.375,NA
"Phelipanche camphorosmae",2,1,0.5,NA
"Phitosia crocifolia",1,1,1,NA
"Phleum crypsoides",3,1,0.333333333333333,NA
"Phlomis brevibracteata",1,1,1,NA
"Phlomis cypria",1,1,1,NA
"Phyllis viscosa",1,1,1,NA
"Phyteuma confusum",5,1,0.2,NA
"Phyteuma cordatum",2,2,1,NA
"Phyteuma hemisphaericum",6,1,0.166666666666667,NA
"Phyteuma humile",3,1,0.333333333333333,NA
"Phyteuma scorzonerifolium",3,1,0.333333333333333,NA
"Phyteuma sieberi",3,1,0.333333333333333,NA
"Picris hispidissima",2,1,0.5,NA
"Pilosella anobrachia",4,1,0.25,NA
"Pilosella arnoseroides",7,1,0.142857142857143,NA
"Pilosella calomastix",7,1,0.142857142857143,NA
"Pilosella cinereiformis",2,1,0.5,NA
"Pilosella cochlearis",8,2,0.25,NA
"Pilosella cymiflora",11,1,0.0909090909090909,NA
"Pilosella dichotoma",1,1,1,NA
"Pilosella dimorphoides",2,1,0.5,NA
"Pilosella euchaetiiformis",1,1,1,NA
"Pilosella fallacina",9,1,0.111111111111111,NA
"Pilosella × heterodoxa",6,1,0.166666666666667,NA
"Pilosella heterodoxiformis",1,1,1,NA
"Pilosella hybrida",5,1,0.2,NA
"Pilosella latisquamiformis",1,1,1,NA
"Pilosella leucopsilon",4,2,0.5,NA
"Pilosella × melinomelas",4,1,0.25,NA
"Pilosella moechiadia",1,1,1,NA
"Pilosella peleteriana",7,3,0.428571428571429,NA
"Pilosella × peteriana",8,1,0.125,NA
"Pilosella petraea",3,1,0.333333333333333,NA
"Pilosella pilosellina",6,1,0.166666666666667,NA
"Pilosella × polymastix",11,1,0.0909090909090909,NA
"Pilosella × promeces",4,1,0.25,NA
"Pilosella × rubra",7,1,0.142857142857143,NA
"Pilosella sphaerocephala",8,1,0.125,NA
"Pilosella sulphurea",10,1,0.1,NA
"Pilosella tubulascens",3,1,0.333333333333333,NA
"Pilosella visianii",8,2,0.25,NA
"Pimpinella anagodendron",1,1,1,NA
"Pimpinella bicknellii",1,1,1,NA
"Pimpinella pretenderis",2,1,0.5,NA
"Pimpinella rupicola",1,1,1,NA
"Pimpinella serbica",2,1,0.5,NA
"Pimpinella tragium",2,1,0.5,NA
"Pinguicula crystallina",3,3,1,NA
"Pinguicula dertosensis",1,1,1,"Least Concern"
"Pinguicula fiorii",1,1,1,NA
"Pinguicula grandiflora",5,2,0.4,NA
"Pinguicula leptoceras",5,1,0.2,"Least Concern"
"Pinguicula longifolia",3,2,0.666666666666667,"Least Concern"
"Pinguicula mariae",1,1,1,"Least Concern"
"Pinguicula mundi",1,1,1,"Least Concern"
"Pinguicula nevadensis",1,1,1,"Endangered"
"Pinguicula sehuensis",1,1,1,NA
"Pinguicula vallisneriifolia",1,1,1,"Least Concern"
"Pinguicula vallis-regiae",1,1,1,NA
"Pinus heldreichii",5,1,0.2,"Least Concern"
"Pinus mugo",14,2,0.142857142857143,"Least Concern"
"Pinus peuce",4,1,0.25,"Near Threatened"
"Pinus × rhaetica",8,1,0.125,NA
"Pinus uncinata",8,1,0.125,"Least Concern"
"Pistorinia hispanica",2,1,0.5,NA
"Plagius flosculosus",2,1,0.5,"Vulnerable"
"Plantago algarbiensis",2,2,1,"Endangered"
"Plantago atrata",12,2,0.166666666666667,NA
"Plantago dardanae",1,1,1,NA
"Plantago famarae",1,1,1,"Critically Endangered"
"Plantago peloritana",1,1,1,NA
"Plantago schwarzenbergiana",3,1,0.333333333333333,NA
"Plantago strictissima",12,1,0.0833333333333333,NA
"Pleiomeris canariensis",1,1,1,"Critically Endangered"
"Pleudia herbanica",1,1,1,NA
"Pleurospermum austriacum",15,7,0.466666666666667,NA
"Poa dolosa",2,1,0.5,NA
"Poa laxa",11,1,0.0909090909090909,NA
"Poa margilicola",1,1,1,NA
"Poa minor",8,1,0.125,NA
"Poa pitardiana",1,1,1,NA
"Poa pumila",6,1,0.166666666666667,NA
"Poa rehmannii",2,1,0.5,NA
"Poa sejuncta",1,1,1,NA
"Poa stiriaca",6,1,0.166666666666667,NA
"Polygala alpestris",8,2,0.25,NA
"Polygala amara",6,2,0.333333333333333,NA
"Polygala calcarea",7,3,0.428571428571429,"Least Concern"
"Polygala doerfleri",2,1,0.5,NA
"Polygala exilis",3,1,0.333333333333333,NA
"Polygala forojulensis",3,2,0.666666666666667,NA
"Polygala sardoa",1,1,1,NA
"Polygala sinisica",1,1,1,"Critically Endangered"
"Polygaloides vayredae",1,1,1,NA
